def_path	cluster_tag	via_ir_shape	via_ir_safety	via_mirsem_shape	via_mirsem_sl_safety_discharged	via_mirsem_call_requires	via_mirsem_loop_full	fully_faithful
std::ptr::const_ptr::<impl *const T>::offset_from_unsigned::precondition_check	SHAPE_GAP	false	false	false	false	false	false	false
core::num::<impl usize>::unchecked_add::precondition_check	SHAPE_GAP	false	false	false	false	false	false	false
<std::slice::Iter<'_, i32> as std::iter::Iterator>::fold::<i32, {closure@<i32 as std::iter::Sum<&i32>>::sum<std::slice::Iter<'_, i32>>::{closure#0}}>	SHAPE_GAP	false	false	false	false	false	false	false
<i32 as std::iter::Sum<&i32>>::sum::<std::slice::Iter<'_, i32>>	SHAPE_GAP	false	false	false	false	false	false	false
<i32 as std::iter::Sum<&i32>>::sum::<std::slice::Iter<'_, i32>>::{closure#0}	SAFETY_GAP	false	false	true	false	false	false	false
<std::slice::Iter<'_, i32> as std::iter::Iterator>::count	SHAPE_GAP	false	false	false	false	false	false	false
<std::slice::Iter<'_, i32> as std::iter::Iterator>::next	SHAPE_GAP	false	false	false	false	false	false	false
<std::slice::Iter<'_, i32> as std::iter::Iterator>::sum::<i32>	SHAPE_GAP	false	false	false	false	false	false	false
core::slice::<impl [i32]>::first	SHAPE_GAP	false	false	false	false	false	false	false
std::intrinsics::cold_path	SHAPE_GAP	false	false	false	false	false	false	false
std::ptr::mut_ptr::<impl *mut T>::add::precondition_check	SHAPE_GAP	false	false	false	false	false	false	false
std::slice::Iter::<'_, i32>::new	SHAPE_GAP	false	false	false	false	false	false	false
core::slice::<impl [i32]>::iter	SHAPE_GAP	false	false	false	false	false	false	false
core::slice::iter::<impl std::iter::IntoIterator for &[i32]>::into_iter	SHAPE_GAP	false	false	false	false	false	false	false
count_pos	SHAPE_GAP	false	false	false	false	false	false	false
std::option::Option::<&i32>::unwrap_or	SHAPE_GAP	false	false	false	false	false	false	false
first_or	SHAPE_GAP	false	false	false	false	false	false	false
len_via_count	SHAPE_GAP	false	false	false	false	false	false	false
sum_iter	SHAPE_GAP	false	false	false	false	false	false	false
sum_loop	SHAPE_GAP	false	false	false	false	false	false	false
while_idx	SAFETY_GAP	false	false	true	false	false	false	false

=== FF-gate cluster summary (21 functions) ===
  SAFETY_GAP       2
  std::slice::Iter::<'_, i32>::new  FullyFaithfulDiagnosis { via_ir_shape: false, via_ir_safety: false, via_ir: false, expr_fold_decline: None, via_mirsem_straight_line_shape: false, via_mirsem_loop_shape: false, via_mirsem_shape: false, via_mirsem_straight_line_safety_discharged: false, via_mirsem_call_requires: false, via_mirsem_loop_full: false, via_mirsem: false, fully_faithful: false }
  core::slice::<impl [i32]>::iter  FullyFaithfulDiagnosis { via_ir_shape: false, via_ir_safety: false, via_ir: false, expr_fold_decline: None, via_mirsem_straight_line_shape: false, via_mirsem_loop_shape: false, via_mirsem_shape: false, via_mirsem_straight_line_safety_discharged: false, via_mirsem_call_requires: false, via_mirsem_loop_full: false, via_mirsem: false, fully_faithful: false }
  core::slice::iter::<impl std::iter::IntoIterator for &[i32]>::into_iter  FullyFaithfulDiagnosis { via_ir_shape: false, via_ir_safety: false, via_ir: false, expr_fold_decline: None, via_mirsem_straight_line_shape: false, via_mirsem_loop_shape: false, via_mirsem_shape: false, via_mirsem_straight_line_safety_discharged: false, via_mirsem_call_requires: false, via_mirsem_loop_full: false, via_mirsem: false, fully_faithful: false }
  count_pos  FullyFaithfulDiagnosis { via_ir_shape: false, via_ir_safety: false, via_ir: false, expr_fold_decline: None, via_mirsem_straight_line_shape: false, via_mirsem_loop_shape: false, via_mirsem_shape: false, via_mirsem_straight_line_safety_discharged: false, via_mirsem_call_requires: false, via_mirsem_loop_full: false, via_mirsem: false, fully_faithful: false }
  std::option::Option::<&i32>::unwrap_or  FullyFaithfulDiagnosis { via_ir_shape: false, via_ir_safety: false, via_ir: false, expr_fold_decline: None, via_mirsem_straight_line_shape: false, via_mirsem_loop_shape: false, via_mirsem_shape: false, via_mirsem_straight_line_safety_discharged: false, via_mirsem_call_requires: false, via_mirsem_loop_full: false, via_mirsem: false, fully_faithful: false }
  first_or  FullyFaithfulDiagnosis { via_ir_shape: false, via_ir_safety: false, via_ir: false, expr_fold_decline: None, via_mirsem_straight_line_shape: false, via_mirsem_loop_shape: false, via_mirsem_shape: false, via_mirsem_straight_line_safety_discharged: false, via_mirsem_call_requires: false, via_mirsem_loop_full: false, via_mirsem: false, fully_faithful: false }
  len_via_count  FullyFaithfulDiagnosis { via_ir_shape: false, via_ir_safety: false, via_ir: false, expr_fold_decline: None, via_mirsem_straight_line_shape: false, via_mirsem_loop_shape: false, via_mirsem_shape: false, via_mirsem_straight_line_safety_discharged: false, via_mirsem_call_requires: false, via_mirsem_loop_full: false, via_mirsem: false, fully_faithful: false }
  sum_iter  FullyFaithfulDiagnosis { via_ir_shape: false, via_ir_safety: false, via_ir: false, expr_fold_decline: None, via_mirsem_straight_line_shape: false, via_mirsem_loop_shape: false, via_mirsem_shape: false, via_mirsem_straight_line_safety_discharged: false, via_mirsem_call_requires: false, via_mirsem_loop_full: false, via_mirsem: false, fully_faithful: false }
  sum_loop  FullyFaithfulDiagnosis { via_ir_shape: false, via_ir_safety: false, via_ir: false, expr_fold_decline: None, via_mirsem_straight_line_shape: false, via_mirsem_loop_shape: false, via_mirsem_shape: false, via_mirsem_straight_line_safety_discharged: false, via_mirsem_call_requires: false, via_mirsem_loop_full: false, via_mirsem: false, fully_faithful: false }

=== SAFETY_GAP functions (shape recognized, safety/discharge open) ===
  <i32 as std::iter::Sum<&i32>>::sum::<std::slice::Iter<'_, i32>>::{closure#0}  FullyFaithfulDiagnosis { via_ir_shape: false, via_ir_safety: false, via_ir: false, expr_fold_decline: None, via_mirsem_straight_line_shape: true, via_mirsem_loop_shape: false, via_mirsem_shape: true, via_mirsem_straight_line_safety_discharged: false, via_mirsem_call_requires: false, via_mirsem_loop_full: false, via_mirsem: false, fully_faithful: false }
  while_idx  FullyFaithfulDiagnosis { via_ir_shape: false, via_ir_safety: false, via_ir: false, expr_fold_decline: None, via_mirsem_straight_line_shape: false, via_mirsem_loop_shape: true, via_mirsem_shape: true, via_mirsem_straight_line_safety_discharged: false, via_mirsem_call_requires: false, via_mirsem_loop_full: false, via_mirsem: false, fully_faithful: false }
